id_struk,waktu_transaksi,kode_outlet,kode_menu,jumlah_item,harga_satuan,hpp_satuan,total_bruto,nominal_diskon,total_netto,margin_profit,metode_bayar,tipe_pesanan
FNB-20250056,2025-12-17 14:58:00,OUT-01,MNU-03,3,68000,36000,204000,30600,173400,65400,QRIS / E-Wallet,Online Delivery Instant
FNB-20250057,2025-12-30 11:08:00,OUT-03,MNU-02,1,85000,48000,85000,8500,76500,28500,QRIS / E-Wallet,Catering & Parcel
FNB-20250058,2025-03-29 16:53:00,OUT-05,MNU-09,3,22000,10000,66000,0,66000,36000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250059,2025-06-18 14:22:00,OUT-04,MNU-09,3,22000,10000,66000,0,66000,36000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250060,2025-08-17 14:55:00,OUT-05,MNU-10,1,55000,28000,55000,5500,49500,21500,Kartu Kredit,Dine In
FNB-20250061,2025-04-13 21:13:00,OUT-02,MNU-07,1,24000,9000,24000,0,24000,15000,QRIS / E-Wallet,Takeaway
FNB-20250062,2025-01-11 20:06:00,OUT-05,MNU-01,2,75000,42000,150000,0,150000,66000,Tunai / Cash,Catering & Parcel
FNB-20250063,2025-12-12 17:41:00,OUT-01,MNU-05,1,90000,52000,90000,13500,76500,24500,Kartu Debit BSI / Mandiri,Dine In
FNB-20250064,2025-02-01 17:25:00,OUT-02,MNU-04,4,82000,45000,328000,0,328000,148000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250065,2025-02-23 07:15:00,OUT-03,MNU-06,10,45000,24000,450000,67500,382500,142500,Kartu Kredit,Takeaway
FNB-20250066,2025-02-24 11:59:00,OUT-03,MNU-04,1,82000,45000,82000,4100,77900,32900,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250067,2025-01-16 09:08:00,OUT-05,MNU-01,1,75000,42000,75000,0,75000,33000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250068,2025-12-04 17:51:00,OUT-04,MNU-06,1,45000,24000,45000,0,45000,21000,Kartu Kredit,Online Delivery Instant
FNB-20250069,2025-07-21 19:11:00,OUT-02,MNU-01,3,75000,42000,225000,0,225000,99000,Kartu Kredit,Catering & Parcel
FNB-20250070,2025-06-27 10:53:00,OUT-05,MNU-01,4,75000,42000,300000,0,300000,132000,QRIS / E-Wallet,Dine In
FNB-20250071,2025-11-21 07:08:00,OUT-05,MNU-01,1,75000,42000,75000,0,75000,33000,Tunai / Cash,Online Delivery Instant
FNB-20250072,2025-12-27 07:05:00,OUT-01,MNU-07,5,24000,9000,120000,0,120000,75000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250073,2025-10-21 17:43:00,OUT-02,MNU-01,5,75000,42000,375000,0,375000,165000,Kartu Kredit,Online Delivery Instant
FNB-20250074,2025-07-01 07:29:00,OUT-05,MNU-07,1,24000,9000,24000,1200,22800,13800,QRIS / E-Wallet,Online Delivery Instant
FNB-20250075,2025-09-20 18:47:00,OUT-03,MNU-01,2,75000,42000,150000,0,150000,66000,Tunai / Cash,Catering & Parcel
FNB-20250076,2025-10-22 09:59:00,OUT-01,MNU-10,2,55000,28000,110000,5500,104500,48500,Tunai / Cash,Dine In
FNB-20250077,2025-08-24 21:57:00,OUT-05,MNU-01,4,75000,42000,300000,15000,285000,117000,Kartu Kredit,Dine In
FNB-20250078,2025-06-24 20:49:00,OUT-05,MNU-05,1,90000,52000,90000,0,90000,38000,Tunai / Cash,Online Delivery Instant
FNB-20250079,2025-08-12 16:24:00,OUT-02,MNU-05,3,90000,52000,270000,13500,256500,100500,QRIS / E-Wallet,Dine In
FNB-20250080,2025-05-16 16:36:00,OUT-05,MNU-03,5,68000,36000,340000,0,340000,160000,Kartu Kredit,Online Delivery Instant
FNB-20250081,2025-04-01 15:53:00,OUT-05,MNU-03,1,68000,36000,68000,3400,64600,28600,Kartu Debit BSI / Mandiri,Dine In
FNB-20250082,2025-12-26 18:15:00,OUT-03,MNU-01,1,75000,42000,75000,7500,67500,25500,Tunai / Cash,Online Delivery Instant
FNB-20250083,2025-08-23 10:27:00,OUT-02,MNU-08,1,28000,12000,28000,0,28000,16000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250084,2025-05-19 19:47:00,OUT-04,MNU-07,2,24000,9000,48000,2400,45600,27600,Tunai / Cash,Catering & Parcel
FNB-20250085,2025-12-22 19:04:00,OUT-02,MNU-07,1,24000,9000,24000,0,24000,15000,Tunai / Cash,Online Delivery Instant
FNB-20250086,2025-05-11 07:40:00,OUT-02,MNU-06,1,45000,24000,45000,4500,40500,16500,Tunai / Cash,Online Delivery Instant
FNB-20250087,2025-03-10 16:04:00,OUT-02,MNU-10,2,55000,28000,110000,0,110000,54000,Kartu Kredit,Dine In
FNB-20250088,2025-02-14 08:43:00,OUT-02,MNU-01,4,75000,42000,300000,0,300000,132000,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250089,2025-07-02 12:59:00,OUT-01,MNU-01,1,75000,42000,75000,0,75000,33000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250090,2025-06-16 20:49:00,OUT-04,MNU-07,2,24000,9000,48000,0,48000,30000,Tunai / Cash,Online Delivery Instant
FNB-20250091,2025-03-19 16:17:00,OUT-05,MNU-09,3,22000,10000,66000,0,66000,36000,QRIS / E-Wallet,Catering & Parcel
FNB-20250092,2025-09-23 19:20:00,OUT-05,MNU-01,4,75000,42000,300000,0,300000,132000,Tunai / Cash,Online Delivery Instant
FNB-20250093,2025-05-02 21:19:00,OUT-05,MNU-06,2,45000,24000,90000,0,90000,42000,Kartu Kredit,Dine In
FNB-20250094,2025-12-12 20:15:00,OUT-02,MNU-05,1,90000,52000,90000,0,90000,38000,Kartu Kredit,Catering & Parcel
FNB-20250095,2025-03-06 17:52:00,OUT-04,MNU-08,1,28000,12000,28000,4200,23800,11800,QRIS / E-Wallet,Catering & Parcel
FNB-20250096,2025-11-28 16:51:00,OUT-03,MNU-09,3,22000,10000,66000,0,66000,36000,Kartu Kredit,Dine In
FNB-20250097,2025-10-07 08:00:00,OUT-04,MNU-07,4,24000,9000,96000,0,96000,60000,QRIS / E-Wallet,Catering & Parcel
FNB-20250098,2025-05-22 08:14:00,OUT-02,MNU-01,2,75000,42000,150000,7500,142500,58500,Tunai / Cash,Dine In
FNB-20250099,2025-11-21 19:20:00,OUT-05,MNU-08,5,28000,12000,140000,0,140000,80000,QRIS / E-Wallet,Dine In
FNB-20250100,2025-11-13 12:39:00,OUT-01,MNU-07,1,24000,9000,24000,0,24000,15000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250101,2025-11-26 09:06:00,OUT-03,MNU-03,1,68000,36000,68000,6800,61200,25200,Kartu Kredit,Takeaway
FNB-20250102,2025-11-10 09:09:00,OUT-05,MNU-02,1,85000,48000,85000,4250,80750,32750,Tunai / Cash,Takeaway
FNB-20250103,2025-11-11 08:38:00,OUT-05,MNU-08,2,28000,12000,56000,8400,47600,23600,Kartu Kredit,Dine In
FNB-20250104,2025-08-17 10:21:00,OUT-04,MNU-03,1,68000,36000,68000,0,68000,32000,QRIS / E-Wallet,Takeaway
FNB-20250105,2025-04-04 14:54:00,OUT-01,MNU-04,1,82000,45000,82000,8200,73800,28800,Kartu Kredit,Dine In
FNB-20250106,2025-06-26 19:45:00,OUT-01,MNU-01,2,75000,42000,150000,0,150000,66000,QRIS / E-Wallet,Takeaway
FNB-20250107,2025-11-04 19:00:00,OUT-01,MNU-06,1,45000,24000,45000,6750,38250,14250,QRIS / E-Wallet,Catering & Parcel
FNB-20250108,2025-12-12 21:42:00,OUT-01,MNU-08,1,28000,12000,28000,0,28000,16000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250109,2025-03-09 17:37:00,OUT-05,MNU-04,3,82000,45000,246000,0,246000,111000,QRIS / E-Wallet,Dine In
FNB-20250110,2025-03-28 07:29:00,OUT-01,MNU-08,1,28000,12000,28000,4200,23800,11800,Tunai / Cash,Takeaway
FNB-20250111,2025-09-02 12:45:00,OUT-04,MNU-07,1,24000,9000,24000,0,24000,15000,Tunai / Cash,Catering & Parcel
FNB-20250112,2025-07-04 21:57:00,OUT-04,MNU-07,1,24000,9000,24000,0,24000,15000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250113,2025-04-13 19:12:00,OUT-03,MNU-05,4,90000,52000,360000,0,360000,152000,Kartu Kredit,Takeaway
FNB-20250114,2025-02-03 15:38:00,OUT-01,MNU-06,2,45000,24000,90000,0,90000,42000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250115,2025-08-01 18:47:00,OUT-05,MNU-09,1,22000,10000,22000,0,22000,12000,Kartu Kredit,Online Delivery Instant
FNB-20250116,2025-04-09 12:59:00,OUT-01,MNU-04,1,82000,45000,82000,4100,77900,32900,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250117,2025-08-24 13:26:00,OUT-04,MNU-10,2,55000,28000,110000,0,110000,54000,Tunai / Cash,Online Delivery Instant
FNB-20250118,2025-03-10 19:56:00,OUT-04,MNU-06,2,45000,24000,90000,0,90000,42000,Kartu Kredit,Catering & Parcel
FNB-20250119,2025-07-21 17:08:00,OUT-02,MNU-05,1,90000,52000,90000,0,90000,38000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250120,2025-08-24 15:30:00,OUT-04,MNU-02,3,85000,48000,255000,12750,242250,98250,QRIS / E-Wallet,Online Delivery Instant
FNB-20250121,2025-09-02 07:33:00,OUT-01,MNU-01,2,75000,42000,150000,0,150000,66000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250122,2025-03-15 16:26:00,OUT-04,MNU-05,1,90000,52000,90000,0,90000,38000,Kartu Kredit,Takeaway
FNB-20250123,2025-09-27 09:05:00,OUT-04,MNU-05,3,90000,52000,270000,0,270000,114000,QRIS / E-Wallet,Takeaway
FNB-20250124,2025-11-06 07:37:00,OUT-05,MNU-08,2,28000,12000,56000,0,56000,32000,Tunai / Cash,Dine In
FNB-20250125,2025-10-03 19:00:00,OUT-05,MNU-10,1,55000,28000,55000,8250,46750,18750,QRIS / E-Wallet,Takeaway
FNB-20250126,2025-02-20 20:00:00,OUT-02,MNU-06,1,45000,24000,45000,0,45000,21000,Kartu Kredit,Catering & Parcel
FNB-20250127,2025-07-29 16:31:00,OUT-02,MNU-10,1,55000,28000,55000,5500,49500,21500,Tunai / Cash,Online Delivery Instant
FNB-20250128,2025-09-06 16:50:00,OUT-05,MNU-01,2,75000,42000,150000,0,150000,66000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250129,2025-07-04 07:10:00,OUT-05,MNU-02,1,85000,48000,85000,0,85000,37000,QRIS / E-Wallet,Dine In
FNB-20250130,2025-04-22 16:10:00,OUT-05,MNU-02,1,85000,48000,85000,0,85000,37000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250131,2025-02-14 07:25:00,OUT-01,MNU-01,3,75000,42000,225000,11250,213750,87750,Tunai / Cash,Dine In
FNB-20250132,2025-02-15 12:37:00,OUT-03,MNU-09,1,22000,10000,22000,0,22000,12000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250133,2025-07-13 10:36:00,OUT-02,MNU-09,2,22000,10000,44000,0,44000,24000,Tunai / Cash,Takeaway
FNB-20250134,2025-05-12 20:54:00,OUT-05,MNU-07,2,24000,9000,48000,0,48000,30000,QRIS / E-Wallet,Catering & Parcel
FNB-20250135,2025-06-18 18:34:00,OUT-02,MNU-09,1,22000,10000,22000,0,22000,12000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250136,2025-11-16 08:40:00,OUT-04,MNU-02,1,85000,48000,85000,8500,76500,28500,Kartu Kredit,Catering & Parcel
FNB-20250137,2025-01-08 21:20:00,OUT-05,MNU-05,2,90000,52000,180000,0,180000,76000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250138,2025-08-21 15:12:00,OUT-03,MNU-01,1,75000,42000,75000,11250,63750,21750,Kartu Debit BSI / Mandiri,Dine In
FNB-20250139,2025-04-14 19:41:00,OUT-04,MNU-02,1,85000,48000,85000,0,85000,37000,Tunai / Cash,Dine In
FNB-20250140,2025-08-12 13:57:00,OUT-04,MNU-02,1,85000,48000,85000,4250,80750,32750,Kartu Kredit,Catering & Parcel
FNB-20250141,2025-03-20 13:55:00,OUT-04,MNU-06,1,45000,24000,45000,0,45000,21000,QRIS / E-Wallet,Catering & Parcel
FNB-20250142,2025-07-08 14:50:00,OUT-03,MNU-06,3,45000,24000,135000,0,135000,63000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250143,2025-05-22 07:46:00,OUT-02,MNU-02,1,85000,48000,85000,12750,72250,24250,Kartu Debit BSI / Mandiri,Dine In
FNB-20250144,2025-08-27 07:09:00,OUT-04,MNU-07,2,24000,9000,48000,0,48000,30000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250145,2025-09-07 09:24:00,OUT-03,MNU-03,5,68000,36000,340000,0,340000,160000,QRIS / E-Wallet,Dine In
FNB-20250146,2025-08-11 12:43:00,OUT-02,MNU-05,1,90000,52000,90000,18000,72000,20000,Kartu Kredit,Dine In
FNB-20250147,2025-06-20 13:41:00,OUT-05,MNU-05,2,90000,52000,180000,36000,144000,40000,Tunai / Cash,Online Delivery Instant
FNB-20250148,2025-12-28 15:24:00,OUT-01,MNU-06,3,45000,24000,135000,0,135000,63000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250149,2025-10-14 20:41:00,OUT-01,MNU-05,4,90000,52000,360000,72000,288000,80000,QRIS / E-Wallet,Dine In
FNB-20250150,2025-05-31 10:58:00,OUT-04,MNU-08,1,28000,12000,28000,4200,23800,11800,QRIS / E-Wallet,Takeaway
FNB-20250151,2025-07-19 13:10:00,OUT-02,MNU-08,1,28000,12000,28000,1400,26600,14600,QRIS / E-Wallet,Takeaway
FNB-20250152,2025-03-26 21:03:00,OUT-04,MNU-05,1,90000,52000,90000,0,90000,38000,QRIS / E-Wallet,Takeaway
FNB-20250153,2025-06-25 13:39:00,OUT-01,MNU-02,3,85000,48000,255000,0,255000,111000,Kartu Kredit,Online Delivery Instant
FNB-20250154,2025-05-20 11:07:00,OUT-01,MNU-03,8,68000,36000,544000,81600,462400,174400,QRIS / E-Wallet,Catering & Parcel
FNB-20250155,2025-04-20 19:59:00,OUT-05,MNU-05,1,90000,52000,90000,0,90000,38000,QRIS / E-Wallet,Dine In
FNB-20250156,2025-03-15 14:34:00,OUT-02,MNU-02,1,85000,48000,85000,0,85000,37000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250157,2025-07-06 18:45:00,OUT-05,MNU-04,2,82000,45000,164000,8200,155800,65800,QRIS / E-Wallet,Takeaway
FNB-20250158,2025-04-26 09:54:00,OUT-03,MNU-01,2,75000,42000,150000,0,150000,66000,QRIS / E-Wallet,Dine In
FNB-20250159,2025-02-22 15:58:00,OUT-04,MNU-09,10,22000,10000,220000,33000,187000,87000,Kartu Kredit,Online Delivery Instant
FNB-20250160,2025-11-27 09:30:00,OUT-01,MNU-03,1,68000,36000,68000,6800,61200,25200,Kartu Kredit,Online Delivery Instant
FNB-20250161,2025-06-25 14:16:00,OUT-04,MNU-04,4,82000,45000,328000,0,328000,148000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250162,2025-05-04 18:14:00,OUT-01,MNU-07,2,24000,9000,48000,0,48000,30000,Tunai / Cash,Online Delivery Instant
FNB-20250163,2025-03-26 19:28:00,OUT-03,MNU-04,1,82000,45000,82000,0,82000,37000,QRIS / E-Wallet,Dine In
FNB-20250164,2025-06-03 20:07:00,OUT-05,MNU-03,2,68000,36000,136000,0,136000,64000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250165,2025-12-05 11:51:00,OUT-03,MNU-01,1,75000,42000,75000,7500,67500,25500,Kartu Kredit,Dine In
FNB-20250166,2025-02-24 08:23:00,OUT-05,MNU-08,1,28000,12000,28000,0,28000,16000,Tunai / Cash,Catering & Parcel
FNB-20250167,2025-05-25 10:39:00,OUT-01,MNU-04,1,82000,45000,82000,0,82000,37000,Kartu Kredit,Online Delivery Instant
FNB-20250168,2025-06-22 07:38:00,OUT-02,MNU-06,1,45000,24000,45000,9000,36000,12000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250169,2025-06-28 08:09:00,OUT-05,MNU-02,2,85000,48000,170000,34000,136000,40000,Tunai / Cash,Takeaway
FNB-20250170,2025-11-07 12:11:00,OUT-04,MNU-04,1,82000,45000,82000,0,82000,37000,Tunai / Cash,Online Delivery Instant
FNB-20250171,2025-04-01 09:20:00,OUT-05,MNU-06,1,45000,24000,45000,0,45000,21000,Kartu Kredit,Takeaway
FNB-20250172,2025-03-21 16:36:00,OUT-05,MNU-04,2,82000,45000,164000,8200,155800,65800,Kartu Kredit,Online Delivery Instant
FNB-20250173,2025-09-03 20:00:00,OUT-05,MNU-08,4,28000,12000,112000,0,112000,64000,Tunai / Cash,Online Delivery Instant
FNB-20250174,2025-03-12 15:25:00,OUT-05,MNU-04,2,82000,45000,164000,16400,147600,57600,Kartu Debit BSI / Mandiri,Dine In
FNB-20250175,2025-05-21 14:51:00,OUT-04,MNU-02,4,85000,48000,340000,0,340000,148000,Kartu Kredit,Dine In
FNB-20250176,2025-09-19 10:15:00,OUT-03,MNU-01,1,75000,42000,75000,0,75000,33000,Kartu Kredit,Online Delivery Instant
FNB-20250177,2025-12-11 11:27:00,OUT-05,MNU-08,1,28000,12000,28000,0,28000,16000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250178,2025-06-11 09:39:00,OUT-05,MNU-01,1,75000,42000,75000,0,75000,33000,Tunai / Cash,Online Delivery Instant
FNB-20250179,2025-04-15 09:04:00,OUT-04,MNU-01,2,75000,42000,150000,0,150000,66000,Tunai / Cash,Catering & Parcel
FNB-20250180,2025-12-10 11:38:00,OUT-04,MNU-05,2,90000,52000,180000,9000,171000,67000,Kartu Kredit,Dine In
FNB-20250181,2025-02-08 17:19:00,OUT-04,MNU-06,2,45000,24000,90000,0,90000,42000,Kartu Kredit,Takeaway
FNB-20250182,2025-10-22 19:38:00,OUT-02,MNU-07,1,24000,9000,24000,0,24000,15000,Tunai / Cash,Takeaway
FNB-20250183,2025-03-07 18:23:00,OUT-05,MNU-06,3,45000,24000,135000,13500,121500,49500,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250184,2025-02-02 13:07:00,OUT-02,MNU-10,3,55000,28000,165000,0,165000,81000,Kartu Kredit,Takeaway
FNB-20250185,2025-02-15 14:38:00,OUT-03,MNU-06,4,45000,24000,180000,0,180000,84000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250186,2025-04-09 14:02:00,OUT-02,MNU-05,3,90000,52000,270000,0,270000,114000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250187,2025-07-06 16:26:00,OUT-02,MNU-04,1,82000,45000,82000,12300,69700,24700,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250188,2025-05-15 08:31:00,OUT-02,MNU-08,4,28000,12000,112000,0,112000,64000,Tunai / Cash,Catering & Parcel
FNB-20250189,2025-10-09 07:39:00,OUT-04,MNU-01,1,75000,42000,75000,7500,67500,25500,QRIS / E-Wallet,Takeaway
FNB-20250190,2025-07-02 15:06:00,OUT-02,MNU-09,3,22000,10000,66000,0,66000,36000,Tunai / Cash,Dine In
FNB-20250191,2025-03-07 07:44:00,OUT-01,MNU-03,2,68000,36000,136000,0,136000,64000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250192,2025-05-06 21:11:00,OUT-04,MNU-02,4,85000,48000,340000,0,340000,148000,Tunai / Cash,Catering & Parcel
